obs,conductivity,conductivity_qc_executed,conductivity_qc_results,density,density_qc_executed,density_qc_results,deployment,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,profiler_timestamp,salinity,salinity_qc_executed,salinity_qc_results,suspect_timestamp,temperature,temperature_qc_executed,temperature_qc_results,time
"('72',)",3.48709988594,29,13,1026.79903661,29,13,14,3779218458.39,3779218533.08,3771215407.18,44.63218,-124.30797,0.0,internal_timestamp,72.8659973145,29,13,1562226607.18,33.8955993652,29,29,0,7.61929988861,29,29,3771215407.18
"('73',)",3.48710989952,29,13,1026.79913814,29,13,14,3779218458.39,3779218533.08,3771215407.25,44.63218,-124.30797,0.0,internal_timestamp,72.8679962158,29,13,1562226607.25,33.8956985474,29,29,0,7.61920022964,29,29,3771215407.25
"('74',)",3.48710989952,29,13,1026.79912437,29,13,14,3779218458.39,3779218533.08,3771215407.31,44.63218,-124.30797,0.0,internal_timestamp,72.8649978638,29,13,1562226607.31,33.8956985474,29,29,0,7.61920022964,29,29,3771215407.31
"('75',)",3.48710989952,29,13,1026.79911978,29,13,14,3779218458.39,3779218533.08,3771215407.37,44.63218,-124.30797,0.0,internal_timestamp,72.8639984131,29,13,1562226607.37,33.8956985474,29,29,0,7.61920022964,29,29,3771215407.37
"('76',)",3.48709988594,29,13,1026.79905563,29,13,14,3779218458.39,3779218533.08,3771215407.43,44.63218,-124.30797,0.0,internal_timestamp,72.8669967651,29,13,1562226607.43,33.8955993652,29,29,0,7.61920022964,29,29,3771215407.43
"('77',)",3.48709011078,29,13,1026.79905104,29,13,14,3779218458.39,3779218533.08,3771215407.49,44.63218,-124.30797,0.0,internal_timestamp,72.8659973145,29,13,1562226607.49,33.8955993652,29,29,0,7.61920022964,29,29,3771215407.49
"('78',)",3.48709988594,29,13,1026.79913814,29,13,14,3779218458.39,3779218533.08,3771215407.56,44.63218,-124.30797,0.0,internal_timestamp,72.8679962158,29,13,1562226607.56,33.8956985474,29,29,0,7.61920022964,29,29,3771215407.56
"('79',)",3.48710989952,29,13,1026.79923817,29,13,14,3779218458.39,3779218533.08,3771215407.62,44.63218,-124.30797,0.0,internal_timestamp,72.8690032959,29,13,1562226607.62,33.8958015442,29,29,0,7.61910009384,29,29,3771215407.62
"('80',)",3.4871199131,29,13,1026.79932527,29,13,14,3779218458.39,3779218533.08,3771215407.68,44.63218,-124.30797,0.0,internal_timestamp,72.8710021973,29,13,1562226607.68,33.8959007263,29,29,0,7.61910009384,29,29,3771215407.68
"('81',)",3.48710989952,29,13,1026.79933977,29,13,14,3779218458.39,3779218533.08,3771215407.74,44.63218,-124.30797,0.0,internal_timestamp,72.8710021973,29,13,1562226607.74,33.8959007263,29,29,0,7.61899995804,29,29,3771215407.74
