obs,conductivity,conductivity_qc_executed,conductivity_qc_results,density,density_qc_executed,density_qc_results,deployment,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,profiler_timestamp,salinity,salinity_qc_executed,salinity_qc_results,suspect_timestamp,temperature,temperature_qc_executed,temperature_qc_results,time
"('81',)",3.64863991737,29,13,1025.6607576,29,13,8,3742914133.81,3742914134.11,3722239650.73,44.64102,-124.30216,0.0,internal_timestamp,75.516998291,29,29,1513250850.73,32.9837989807,29,29,0,10.3781995773,29,29,3722239650.73
"('82',)",3.64864993095,29,13,1025.66054595,29,13,8,3742914133.81,3742914134.11,3722239650.79,44.64102,-124.30216,0.0,internal_timestamp,75.5120010376,29,29,1513250850.79,32.9836006165,29,29,0,10.3783998489,29,29,3722239650.79
"('83',)",3.64865994453,29,13,1025.6603807,29,13,8,3742914133.81,3742914134.11,3722239650.86,44.64102,-124.30216,0.0,internal_timestamp,75.5039978027,29,29,1513250850.86,32.9835014343,29,29,0,10.3787002563,29,29,3722239650.86
"('84',)",3.64866995811,29,13,1025.66017531,29,13,8,3742914133.81,3742914134.11,3722239650.92,44.64102,-124.30216,0.0,internal_timestamp,75.5009994507,29,29,1513250850.92,32.9832992554,29,29,0,10.3788995743,29,29,3722239650.92
"('85',)",3.64866995811,29,13,1025.66008537,29,13,8,3742914133.81,3742914134.11,3722239650.98,44.64102,-124.30216,0.0,internal_timestamp,75.5019989014,29,29,1513250850.98,32.9832000732,29,29,0,10.3789997101,29,29,3722239650.98
"('86',)",3.64865994453,29,13,1025.65999902,29,13,8,3742914133.81,3742914134.11,3722239651.05,44.64102,-124.30216,0.0,internal_timestamp,75.5,29,29,1513250851.05,32.9831008911,29,29,0,10.3789997101,29,29,3722239651.05
"('87',)",3.64865994453,29,13,1025.65998086,29,13,8,3742914133.81,3742914134.11,3722239651.11,44.64102,-124.30216,0.0,internal_timestamp,75.4960021973,29,29,1513250851.11,32.9831008911,29,29,0,10.3789997101,29,29,3722239651.11
"('88',)",3.64866995811,29,13,1025.66013896,29,13,8,3742914133.81,3742914134.11,3722239651.17,44.64102,-124.30216,0.0,internal_timestamp,75.4929962158,29,29,1513250851.17,32.9832992554,29,29,0,10.3788995743,29,29,3722239651.17
"('89',)",3.64867997169,29,13,1025.66028285,29,13,8,3742914133.81,3742914134.11,3722239651.26,44.64102,-124.30216,0.0,internal_timestamp,75.4899978638,29,29,1513250851.26,32.9835014343,29,29,1,10.3788995743,29,29,3722239651.26
"('90',)",3.64869999886,29,13,1025.66050901,29,13,8,3742914133.81,3742914134.11,3722239651.3,44.64102,-124.30216,0.0,internal_timestamp,75.4850006104,29,29,1513250851.3,32.9837989807,29,29,0,10.3788003922,29,29,3722239651.3
"('91',)",3.64871001244,29,13,1025.66058174,29,13,8,3742914133.81,3742914134.11,3722239651.36,44.64102,-124.30216,0.0,internal_timestamp,75.4840011597,29,29,1513250851.36,32.9838981628,29,29,0,10.3788003922,29,29,3722239651.36
"('92',)",3.64872002602,29,13,1025.66055107,29,13,8,3742914133.81,3742914134.11,3722239651.62,44.64102,-124.30216,0.0,internal_timestamp,75.4810028076,29,29,1513250851.62,32.9838981628,29,29,1,10.3788995743,29,29,3722239651.62
"('93',)",3.64871001244,29,13,1025.66046469,29,13,8,3742914133.81,3742914134.11,3722239651.63,44.64102,-124.30216,0.0,internal_timestamp,75.4789962769,29,29,1513250851.63,32.9837989807,29,29,0,10.3788995743,29,29,3722239651.63
"('94',)",3.64869999886,29,13,1025.66036018,29,13,8,3742914133.81,3742914134.11,3722239651.64,44.64102,-124.30216,0.0,internal_timestamp,75.4729995728,29,29,1513250851.63,32.9836997986,29,29,0,10.3788995743,29,29,3722239651.64
"('95',)",3.64868998528,29,13,1025.66028291,29,13,8,3742914133.81,3742914134.11,3722239651.64,44.64102,-124.30216,0.0,internal_timestamp,75.4729995728,29,29,1513250851.64,32.9836006165,29,29,0,10.3788995743,29,29,3722239651.64
"('96',)",3.64867997169,29,13,1025.66018748,29,13,8,3742914133.81,3742914134.11,3722239651.67,44.64102,-124.30216,0.0,internal_timestamp,75.46900177,29,29,1513250851.67,32.9835014343,29,29,0,10.3788995743,29,29,3722239651.67
"('97',)",3.64867997169,29,13,1025.6601909,29,13,8,3742914133.81,3742914134.11,3722239651.73,44.64102,-124.30216,0.0,internal_timestamp,75.466003418,29,29,1513250851.73,32.9835014343,29,29,0,10.3788003922,29,29,3722239651.73
"('98',)",3.64866995811,29,13,1025.66028081,29,13,8,3742914133.81,3742914134.11,3722239651.79,44.64102,-124.30216,0.0,internal_timestamp,75.4649963379,29,29,1513250851.79,32.9836006165,29,29,0,10.3787002563,29,29,3722239651.79
"('99',)",3.64866995811,29,13,1025.66028081,29,13,8,3742914133.81,3742914134.11,3722239651.86,44.64102,-124.30216,0.0,internal_timestamp,75.4649963379,29,29,1513250851.86,32.9836006165,29,29,0,10.3787002563,29,29,3722239651.86
"('100',)",3.64867997169,29,13,1025.66033084,29,13,8,3742914133.81,3742914134.11,3722239651.92,44.64102,-124.30216,0.0,internal_timestamp,75.4589996338,29,29,1513250851.92,32.9836997986,29,29,0,10.3787002563,29,29,3722239651.92
"('101',)",3.64869999886,29,13,1025.6603909,29,13,8,3742914133.81,3742914134.11,3722239651.98,44.64102,-124.30216,0.0,internal_timestamp,75.4589996338,29,29,1513250851.98,32.9837989807,29,29,0,10.3788003922,29,29,3722239651.98
"('102',)",3.64871001244,29,13,1025.66039998,29,13,8,3742914133.81,3742914134.11,3722239652.04,44.64102,-124.30216,0.0,internal_timestamp,75.4609985352,29,29,1513250852.04,32.9837989807,29,29,0,10.3788003922,29,29,3722239652.04
"('103',)",3.64871001244,29,13,1025.66036024,29,13,8,3742914133.81,3742914134.11,3722239652.11,44.64102,-124.30216,0.0,internal_timestamp,75.4560012817,29,13,1513250852.11,32.9837989807,29,29,0,10.3788995743,29,29,3722239652.11
"('104',)",3.64871001244,29,13,1025.66026576,29,13,8,3742914133.81,3742914134.11,3722239652.17,44.64102,-124.30216,0.0,internal_timestamp,75.4560012817,29,13,1513250852.17,32.9836997986,29,29,0,10.3789997101,29,29,3722239652.17
