obs,conductivity_millisiemens,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,density,density_qc_executed,density_qc_results,deployment,dpc_ctd_seawater_conductivity,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,practical_salinity,practical_salinity_qc_executed,practical_salinity_qc_results,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,raw_time_microseconds,time,temp,temp_qc_executed,temp_qc_results,time
"('59',)",34.24319839,1,0,1027.924438,29,29,5,3.424319839,29,29,3774706964,3774706965,3771188468,44.36829,-124.9528,0,34.01661203,29,29,internal_timestamp,268.730011,29,29,134488,1562199668,6.701900005,29,29,3771188468
"('60',)",34.24520111,1,0,1027.899282,29,29,5,3.424520111,29,29,3774706964,3774706965,3771188488,44.36829,-124.9528,0,34.01579905,29,29,internal_timestamp,263.5599976,29,29,134118,1562199688,6.707499981,29,29,3771188488
"('61',)",34.25550079,1,0,1027.871782,29,29,5,3.425550079,29,29,3774706964,3774706965,3771188508,44.36829,-124.9528,0,34.0139492,29,29,internal_timestamp,258.3699951,29,29,131876,1562199708,6.723400116,29,29,3771188508
"('62',)",34.26190186,1,0,1027.846041,29,29,5,3.426190186,29,29,3774706964,3774706965,3771188528,44.36829,-124.9528,0,34.01334477,29,29,internal_timestamp,253.1799927,29,29,133179,1562199728,6.733699799,29,29,3771188528
"('63',)",34.27360153,1,0,1027.819489,29,29,5,3.427360153,29,29,3774706964,3774706965,3771188548,44.36829,-124.9528,0,34.01241018,29,29,internal_timestamp,248.0599976,29,29,134647,1562199748,6.750199795,29,29,3771188548
"('64',)",34.2820015,1,0,1027.791747,29,29,5,3.42820015,29,29,3774706964,3774706965,3771188568,44.36829,-124.9528,0,34.009945,29,29,internal_timestamp,242.8800049,29,29,128219,1562199768,6.7645998,29,29,3771188568
"('65',)",34.30899811,1,0,1027.761062,29,29,5,3.430899811,29,29,3774706964,3774706965,3771188588,44.36829,-124.9528,0,34.00727413,29,29,internal_timestamp,237.7299957,29,29,129394,1562199788,6.799900055,29,29,3771188588
"('66',)",34.32939911,1,0,1027.731495,29,29,5,3.432939911,29,29,3774706964,3774706965,3771188608,44.36829,-124.9528,0,34.00475861,29,29,internal_timestamp,232.5700073,29,29,130715,1562199808,6.827700138,29,29,3771188608
"('67',)",34.33449936,1,0,1027.705971,29,29,5,3.433449936,29,29,3774706964,3774706965,3771188628,44.36829,-124.9528,0,34.00398531,29,29,internal_timestamp,227.4199982,29,29,130937,1562199828,6.836699963,29,29,3771188628
"('68',)",34.35200119,1,0,1027.676139,29,29,5,3.435200119,29,29,3774706964,3774706965,3771188648,44.36829,-124.9528,0,34.000753,29,29,internal_timestamp,222.25,29,29,129130,1562199848,6.861999989,29,29,3771188648
"('69',)",34.35860062,1,0,1027.650132,29,29,5,3.435860062,29,29,3774706964,3774706965,3771188668,44.36829,-124.9528,0,33.99986404,29,29,internal_timestamp,217.0700073,29,29,131128,1562199868,6.872799873,29,29,3771188668
"('70',)",34.36899948,1,0,1027.623491,29,29,5,3.436899948,29,29,3774706964,3774706965,3771188688,44.36829,-124.9528,0,33.99868131,29,29,internal_timestamp,211.9400024,29,29,134870,1562199888,6.888100147,29,29,3771188688
"('71',)",34.38069916,1,0,1027.596154,29,29,5,3.438069916,29,29,3774706964,3774706965,3771188708,44.36829,-124.9528,0,33.99716942,29,29,internal_timestamp,206.7700043,29,29,81670,1562199908,6.905200005,29,29,3771188708
"('72',)",34.38769913,1,0,1027.570854,29,29,5,3.438769913,29,29,3774706964,3774706965,3771188728,44.36829,-124.9528,0,33.99711514,29,29,internal_timestamp,201.5899963,29,29,79712,1562199928,6.915599823,29,29,3771188728
"('73',)",34.5379982,1,0,1027.498855,29,29,5,3.45379982,29,29,3774706964,3774706965,3771188748,44.36829,-124.9528,0,33.97117011,29,29,internal_timestamp,196.3800049,29,29,137482,1562199948,7.111599922,29,29,3771188748
"('74',)",34.58919907,1,0,1027.466451,29,29,5,3.458919907,29,29,3774706964,3774706965,3771188768,44.36829,-124.9528,0,33.97100584,29,29,internal_timestamp,191.1999969,29,29,79496,1562199968,7.171199799,29,29,3771188768
"('75',)",34.6548996,1,0,1027.424073,29,29,5,3.46548996,29,29,3774706964,3774706965,3771188788,44.36829,-124.9528,0,33.96298681,29,29,internal_timestamp,185.9499969,29,29,83676,1562199988,7.254899979,29,29,3771188788
"('76',)",34.70270157,1,0,1027.389992,29,29,5,3.470270157,29,29,3774706964,3774706965,3771188808,44.36829,-124.9528,0,33.96075401,29,29,internal_timestamp,180.7200012,29,29,135800,1562200008,7.312799931,29,29,3771188808
"('77',)",34.77000046,1,0,1027.348334,29,29,5,3.477000046,29,29,3774706964,3774706965,3771188828,44.36829,-124.9528,0,33.9538235,29,29,internal_timestamp,175.4799957,29,29,139158,1562200028,7.397099972,29,29,3771188828
"('78',)",34.80369949,1,0,1027.311535,29,29,5,3.480369949,29,29,3774706964,3774706965,3771188848,44.36829,-124.9528,0,33.94654411,29,29,internal_timestamp,170.1999969,29,29,135578,1562200048,7.444499969,29,29,3771188848
"('79',)",34.86439896,1,0,1027.272255,29,29,5,3.486439896,29,29,3774706964,3774706965,3771188868,44.36829,-124.9528,0,33.94133912,29,29,internal_timestamp,164.9100037,29,29,136103,1562200068,7.51970005,29,29,3771188868
"('80',)",34.9129982,1,0,1027.235661,29,29,5,3.49129982,29,29,3774706964,3774706965,3771188888,44.36829,-124.9528,0,33.937201,29,29,internal_timestamp,159.5700073,29,29,134623,1562200088,7.58039999,29,29,3771188888
"('81',)",35.00619888,1,0,1027.188147,29,29,5,3.500619888,29,29,3774706964,3774706965,3771188908,44.36829,-124.9528,0,33.92878416,29,29,internal_timestamp,154.3099976,29,29,142696,1562200108,7.6947999,29,29,3771188908
"('82',)",35.12189865,1,0,1027.142742,29,29,5,3.512189865,29,29,3774706964,3774706965,3771188928,44.36829,-124.9528,0,33.92658394,29,29,internal_timestamp,149.0700073,29,29,140525,1562200128,7.827600002,29,29,3771188928
"('83',)",35.18080139,1,0,1027.108323,29,29,5,3.518080139,29,29,3774706964,3774706965,3771188948,44.36829,-124.9528,0,33.92625491,29,29,internal_timestamp,143.8300018,29,29,136539,1562200148,7.895599842,29,29,3771188948
"('84',)",35.21689987,1,0,1027.066338,29,29,5,3.521689987,29,29,3774706964,3774706965,3771188968,44.36829,-124.9528,0,33.91388205,29,29,internal_timestamp,138.5899963,29,29,91898,1562200168,7.950799942,29,29,3771188968
"('85',)",35.26459885,1,0,1027.02553,29,29,5,3.526459885,29,29,3774706964,3774706965,3771188988,44.36829,-124.9528,0,33.90503169,29,29,internal_timestamp,133.3099976,29,29,139627,1562200188,8.015199661,29,29,3771188988
"('86',)",35.33380127,1,0,1026.974145,29,29,5,3.533380127,29,29,3774706964,3774706965,3771189008,44.36829,-124.9528,0,33.88897684,29,29,internal_timestamp,127.9899979,29,29,89881,1562200208,8.110799789,29,29,3771189008
"('87',)",35.38259888,1,0,1026.924669,29,29,5,3.538259888,29,29,3774706964,3774706965,3771189028,44.36829,-124.9528,0,33.87114644,29,29,internal_timestamp,122.7200012,29,29,138420,1562200228,8.185700417,29,29,3771189028
"('88',)",35.39699936,1,0,1026.889191,29,29,5,3.539699936,29,29,3774706964,3774706965,3771189048,44.36829,-124.9528,0,33.86194111,29,29,internal_timestamp,117.4800034,29,29,145365,1562200248,8.213700294,29,29,3771189048
"('89',)",35.42279816,1,0,1026.827278,29,29,5,3.542279816,29,29,3774706964,3774706965,3771189068,44.36829,-124.9528,0,33.82651946,29,29,internal_timestamp,112.2799988,29,29,89946,1562200268,8.281499863,29,29,3771189068
"('90',)",35.49330139,1,0,1026.767066,29,29,5,3.549330139,29,29,3774706964,3774706965,3771189088,44.36829,-124.9528,0,33.80091493,29,29,internal_timestamp,107.0899963,29,29,87795,1562200288,8.388500214,29,29,3771189088
"('91',)",35.54589844,1,0,1026.715241,29,29,5,3.554589844,29,29,3774706964,3774706965,3771189108,44.36829,-124.9528,0,33.7813591,29,29,internal_timestamp,101.8399963,29,29,167301,1562200308,8.469499588,29,29,3771189108
"('92',)",35.58209991,1,0,1026.680424,29,29,5,3.558209991,29,29,3774706964,3774706965,3771189128,44.36829,-124.9528,0,33.76681055,29,29,internal_timestamp,98.63999939,29,29,145863,1562200328,8.526200294,29,29,3771189128
"('93',)",35.58459854,1,0,1026.681959,29,29,5,3.558459854,29,29,3774706964,3774706965,3771189133,44.36829,-124.9528,0,33.76834419,29,29,internal_timestamp,98.75,29,29,146115,1562200333,8.527299881,29,29,3771189133
"('94',)",35.58549881,1,0,1026.683975,29,29,5,3.558549881,29,29,3774706964,3774706965,3771189168,44.36829,-124.9528,0,33.76999905,29,29,internal_timestamp,98.87999725,29,29,266302,1562200368,8.526499748,29,29,3771189168
"('95',)",35.54610062,1,0,1026.728172,29,29,5,3.554610062,29,29,3774706964,3774706965,3771189188,44.36829,-124.9528,0,33.78946994,29,29,internal_timestamp,102.9800034,29,29,307372,1562200388,8.460700035,29,29,3771189188
"('96',)",35.49069977,1,0,1026.78352,29,29,5,3.549069977,29,29,3774706964,3774706965,3771189208,44.36829,-124.9528,0,33.81157322,29,29,internal_timestamp,108.3700027,29,29,268682,1562200408,8.373900414,29,29,3771189208
